Lună,Lead-uri noi total,Din Meta Ads,Din Google Ads,Din Referral,Din Grupuri FB,Din AFIR,Lead-uri contactate,Lead-uri calificate,Vizite la sediu,Oferte trimise,Oferte AFIR trimise,Vânzări închise,Valoare vânzări (RON),Buget ads cheltuit (RON),Cost per lead (RON),Cost per vânzare (RON),Observații
"Februarie 2026","","","","","","","","","","","","","","","","",""
"Martie 2026","","","","","","","","","","","","","","","","",""
"Aprilie 2026","","","","","","","","","","","","","","","","",""
